event_type_id,name,start,end,public,academia,government,industry
1,Summer App Training,2022-06-10,2022-06-10,1,9,8,1
2,Summer CodeFest,2022-06-13,2022-06-18,1,5,3,3
1,Fall App Training,2022-09-09,2022-09-09,2,2,0,2
2,Fall CodeFest,2022-09-06,2022-09-11,5,0,0,1
1,Winter App Training,2022-11-18,2022-11-18,3,14,2,0
2,Winter CodeFest,2022-11-14,2022-11-20,0,13,1,1
2,Winter CodeFest,2022-12-05,2022-12-09,0,3,2,1
2,Spring CodeFest,2023-04-03,2023-04-07,5,7,5,0
1,Winter App Training,2022-12-16,2022-12-16,0,5,2,3  
1,Spring App Training,2023-04-07,2023-04-07,6,17,9,3
3,AMS,2023-01-08,2023-01-08,2,2,4,10
4,AGU,2022-12-12,2022-12-16,26,23,0,8
5,UIFCW,2022-07-18,2022-07-22,71,67,190,92
