date,new_users
2022-01-25,120
2022-01-26,81
2022-01-27,36
2022-01-28,29
2022-01-29,13
2022-01-30,10
2022-01-31,14
2022-02-01,31
2022-02-02,10
2022-02-03,20
2022-02-04,10
2022-02-05,5
2022-02-06,2
2022-02-07,11
2022-02-08,16
2022-02-09,22
2022-02-10,8
2022-02-11,12
2022-02-12,13
2022-02-13,8
2022-02-14,25
2022-02-15,15
2022-02-16,49
2022-02-17,78
2022-02-18,30
2022-02-19,11
2022-02-20,10
2022-02-21,21
2022-02-22,25
2022-02-23,22
2022-02-24,18
2022-02-25,12
2022-02-26,18
2022-02-27,5
2022-02-28,20
2022-03-01,14
2022-03-02,33
2022-03-03,24
2022-03-04,27
2022-03-05,10
2022-03-06,19
2022-03-07,37
2022-03-08,20
2022-03-09,25
2022-03-10,18
2022-03-11,19
2022-03-12,8
2022-03-13,13
2022-03-14,13
2022-03-15,25
2022-03-16,27
2022-03-17,20
2022-03-18,41
2022-03-19,9
2022-03-20,15
2022-03-21,25
2022-03-22,23
2022-03-23,14
2022-03-24,19
2022-03-25,19
2022-03-26,12
2022-03-27,10
2022-03-28,113
2022-03-29,18
2022-03-30,6
2022-03-31,18
2022-04-01,34
2022-04-02,14
2022-04-03,24
2022-04-04,19
2022-04-05,25
2022-04-06,15
2022-04-07,26
2022-04-08,27
2022-04-09,5
2022-04-10,22
2022-04-11,18
2022-04-12,24
2022-04-13,19
2022-04-14,13
2022-04-15,9
2022-04-16,13
2022-04-17,5
2022-04-18,25
2022-04-19,23
2022-04-20,71
2022-04-21,22
2022-04-22,18
2022-04-23,4
2022-04-24,16
2022-04-25,31
2022-04-26,17
2022-04-27,18
2022-04-28,20
2022-04-29,19
2022-04-30,8
2022-05-01,8
2022-05-02,36
2022-05-03,29
2022-05-04,30
2022-05-05,34
2022-05-06,26
2022-05-07,31
2022-05-08,10
2022-05-09,32
2022-05-10,23
2022-05-11,50
2022-05-12,166
2022-05-13,130
2022-05-14,32
2022-05-15,32
2022-05-16,72
2022-05-17,39
2022-05-18,74
2022-05-19,61
2022-05-20,67
2022-05-21,33
2022-05-22,45
2022-05-23,93
2022-05-24,76
2022-05-25,67
2022-05-26,69
2022-05-27,28
2022-05-28,6
2022-05-29,24
2022-05-30,15
2022-05-31,34
2022-06-01,46
2022-06-02,28
2022-06-03,21
