date,count
2022-01-25,304
2022-01-26,276
2022-01-27,100
2022-01-28,93
2022-01-29,23
2022-01-30,18
2022-01-31,45
2022-02-01,92
2022-02-02,42
2022-02-03,56
2022-02-04,21
2022-02-05,9
2022-02-06,3
2022-02-07,20
2022-02-08,218
2022-02-09,82
2022-02-10,33
2022-02-11,38
2022-02-12,14
2022-02-13,21
2022-02-14,54
2022-02-15,107
2022-02-16,197
2022-02-17,265
2022-02-18,118
2022-02-19,23
2022-02-20,21
2022-02-21,82
2022-02-22,87
2022-02-23,57
2022-02-24,59
2022-02-25,20
2022-02-26,28
2022-02-27,15
2022-02-28,79
2022-03-01,37
2022-03-02,68
2022-03-03,41
2022-03-04,40
2022-03-05,22
2022-03-06,48
2022-03-07,92
2022-03-08,52
2022-03-09,64
2022-03-10,50
2022-03-11,77
2022-03-12,9
2022-03-13,23
2022-03-14,46
2022-03-15,86
2022-03-16,70
2022-03-17,49
2022-03-18,104
2022-03-19,25
2022-03-20,25
2022-03-21,106
2022-03-22,221
2022-03-23,53
2022-03-24,76
2022-03-25,38
2022-03-26,18
2022-03-27,29
2022-03-28,158
2022-03-29,54
2022-03-30,21
2022-03-31,51
2022-04-01,80
2022-04-02,22
2022-04-03,68
2022-04-04,81
2022-04-05,51
2022-04-06,34
2022-04-07,67
2022-04-08,49
2022-04-09,17
2022-04-10,41
2022-04-11,60
2022-04-12,53
2022-04-13,100
2022-04-14,91
2022-04-15,21
2022-04-16,19
2022-04-17,8
2022-04-18,79
2022-04-19,58
2022-04-20,124
2022-04-21,53
2022-04-22,81
2022-04-23,18
2022-04-24,35
2022-04-25,111
2022-04-26,59
2022-04-27,55
2022-04-28,99
2022-04-29,109
2022-04-30,15
2022-05-01,13
2022-05-02,79
2022-05-03,70
2022-05-04,89
2022-05-05,94
2022-05-06,102
2022-05-07,34
2022-05-08,21
2022-05-09,87
2022-05-10,74
2022-05-11,116
2022-05-12,269
2022-05-13,256
2022-05-14,45
2022-05-15,52
2022-05-16,220
2022-05-17,154
2022-05-18,152
2022-05-19,180
2022-05-20,152
2022-05-21,46
2022-05-22,66
2022-05-23,231
2022-05-24,268
2022-05-25,188
2022-05-26,151
2022-05-27,83
2022-05-28,19
2022-05-29,59
2022-05-30,30
2022-05-31,90
2022-06-01,135
2022-06-02,130
2022-06-03,82
2022-06-04,25
2022-06-05,51
2022-06-06,173
2022-06-07,292
2022-06-08,146
2022-06-09,217
2022-06-10,236
2022-06-11,10
2022-06-12,37
2022-06-13,151
2022-06-14,139
2022-06-15,88
2022-06-16,101
2022-06-17,110
2022-06-18,41
2022-06-19,31
2022-06-20,29
2022-06-21,129
2022-06-22,67
2022-06-23,394
2022-06-24,154
2022-06-25,35
2022-06-26,29
2022-06-27,227
2022-06-28,162
2022-06-29,119
2022-06-30,210
2022-07-01,106
